id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful,el_count,el_participation_binary
4362052,Speech Language Pathology Asst,NA,5/13/2022,Bachelors,College of Health,Female,NA,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4362053,Speech Language Pathology,NA,5/13/2022,Masters,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493005,Psychology,NA,5/10/2024,Bachelors,College Humanities & Sciences,Female,Asian/Asian American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493024,Commun Sci & Disorders,NA,5/10/2024,Bachelors,College of Health,Female,NA,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493034,Media Arts,NA,5/1/2026,Bachelors,College of the Arts and Media,Male,Black or African American,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493039,Anthropology,NA,5/14/2011,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,GREAT FALLS COLLEGE - MONTANA STATE UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493042,Anthropology,NA,5/1/2020,Doctorate,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493061,"Cell, Molecular, Microbial Bio",Anthropology,5/17/2014,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493065,Medicinal Chemistry,Chemistry,7/29/2016,Bachelors,College of Health,Male,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493067,Registered Nursing,NA,12/20/2016,Bachelors,Missoula College,Female,White/Caucasian,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493074,Anthropology,NA,8/16/2019,Bachelors,College Humanities & Sciences,Female,Native American/Alaskan Native,22-Dec,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
